deviation,scaled time dev,scaled order dev,depth,confidence,Date,Length (s),Winner,Players,filename
0.2059,0.1589,0.2529,131,0.0409,2019-08-08 23:11;59,427.3214285714286,NULL,(P)NULL vs (Z)A.I. 1 (Very Easy),Cyber Forest LE (44).SC2Replay
0.0595,0.0527,0.0663,140,0.9977,2019-08-09 00:04;13,639.8214285714286,NULL,(P)NULL vs (T)A.I. 1 (Very Easy),Thunderbird LE (31).SC2Replay
0.1085,0.0832,0.1338,131,0.9583,2019-08-09 00:19;11,584.6428571428572,NULL,(P)NULL vs (Z)A.I. 1 (Very Easy),Acropolis LE (28).SC2Replay
0.1085,0.0832,0.1338,131,0.9583,2019-08-09 00:19;11,584.6428571428572,NULL,(P)NULL vs (Z)A.I. 1 (Very Easy),Acropolis LE (28).SC2Replay
0.0861,0.0743,0.098,140,0.9946,2019-08-09 22:57;46,659.1517857142858,NULL,(P)NULL vs (T)A.I. 1 (Very Easy),New Repugnancy LE (11).SC2Replay
