deviation,scaled time dev,scaled order dev,depth,confidence,Date,Length (s),Winner,Players,filename
0.0856,0.0731,0.0981,89,0.9998,2019-05-29 23:10;40,590.0446428571429,NULL,(P)Tim vs ,2019-05-29 - (P)Tim VS (P)NULL.SC2Replay
0.1415,0.1324,0.1506,89,0.863,2019-05-31 01:42;24,958.4821428571429,BlackBass,(P)NULL vs ,2019-05-30 - (P)NULL VS (P)BlackBass.SC2Replay
0.0738,0.0695,0.0782,89,0.9927,2019-06-06 01:07;30,670.9821428571429,NULL,(P)ChonnieWin vs ,2019-06-05 - (P)ChonnieWin VS (P)NULL.SC2Replay
0.0895,0.0786,0.1004,89,0.9988,2019-06-06 00:49;10,810.7142857142858,NULL,(P)Syrok vs ,2019-06-05 - (P)Syrok VS (P)NULL.SC2Replay
0.1124,0.0914,0.1333,89,0.9289,2019-07-05 16:02;15,1452.4107142857144,Basio,(P)NULL vs ,2019-07-05 - (P)NULL VS (P)Basio.SC2Replay
0.3534,0.3639,0.3428,89,0.5633,2019-07-06 14:43;01,838.6607142857143,Migwel,(P)Migwel vs ,2019-07-06 - (P)Migwel VS (P)NULL.SC2Replay
0.1383,0.1313,0.1453,89,0.8638,2019-07-10 00:21;39,746.7410714285714,gnegnegnegne,(P)NULL vs ,2019-07-09 - (P)NULL VS (P)gnegnegnegne.SC2Replay
0.1445,0.1346,0.1543,89,0.8054,2019-07-16 01:51;58,1335.1339285714287,NardDog,(P)NardDog vs ,2019-07-15 - (P)NardDog VS (P)NULL.SC2Replay
0.1377,0.1376,0.1378,89,0.9569,2019-07-25 00:24;42,816.875,NULL,(P)NULL vs ,2019-07-24 - (P)NULL VS (P)NardDog.SC2Replay
